starttime	seconds	ctime	dtime	ttime	wait
Mon Mar 13 13:18:35 2017	1489432715	0	186	186	171
Mon Mar 13 13:18:34 2017	1489432714	0	187	187	181
Mon Mar 13 13:18:34 2017	1489432714	0	187	187	183
Mon Mar 13 13:18:34 2017	1489432714	0	187	187	178
Mon Mar 13 13:18:34 2017	1489432714	0	187	187	183
Mon Mar 13 13:18:33 2017	1489432713	0	187	187	185
Mon Mar 13 13:18:34 2017	1489432714	0	187	187	180
Mon Mar 13 13:18:34 2017	1489432714	0	188	188	180
Mon Mar 13 13:18:33 2017	1489432713	0	188	188	177
Mon Mar 13 13:18:35 2017	1489432715	0	188	188	183
Mon Mar 13 13:18:34 2017	1489432714	0	188	188	186
Mon Mar 13 13:18:35 2017	1489432715	0	189	189	169
Mon Mar 13 13:18:34 2017	1489432714	0	190	190	182
Mon Mar 13 13:18:34 2017	1489432714	0	190	190	188
Mon Mar 13 13:18:35 2017	1489432715	0	190	190	188
Mon Mar 13 13:18:33 2017	1489432713	0	191	191	189
Mon Mar 13 13:18:34 2017	1489432714	0	191	191	187
Mon Mar 13 13:18:35 2017	1489432715	0	191	191	188
Mon Mar 13 13:18:35 2017	1489432715	0	192	192	185
Mon Mar 13 13:18:35 2017	1489432715	0	192	192	178
Mon Mar 13 13:18:35 2017	1489432715	0	192	192	185
Mon Mar 13 13:18:35 2017	1489432715	0	192	192	189
Mon Mar 13 13:18:34 2017	1489432714	0	192	192	187
Mon Mar 13 13:18:35 2017	1489432715	0	193	193	187
Mon Mar 13 13:18:35 2017	1489432715	0	193	193	193
Mon Mar 13 13:18:34 2017	1489432714	0	193	193	184
Mon Mar 13 13:18:34 2017	1489432714	0	193	194	188
Mon Mar 13 13:18:35 2017	1489432715	0	193	194	186
Mon Mar 13 13:18:34 2017	1489432714	0	194	194	182
Mon Mar 13 13:18:35 2017	1489432715	0	194	194	183
Mon Mar 13 13:18:34 2017	1489432714	0	194	194	187
Mon Mar 13 13:18:34 2017	1489432714	0	194	194	190
Mon Mar 13 13:18:35 2017	1489432715	0	194	194	174
Mon Mar 13 13:18:34 2017	1489432714	0	195	195	179
Mon Mar 13 13:18:34 2017	1489432714	0	195	195	186
Mon Mar 13 13:18:34 2017	1489432714	0	195	195	192
Mon Mar 13 13:18:34 2017	1489432714	0	195	195	188
Mon Mar 13 13:18:35 2017	1489432715	0	196	196	193
Mon Mar 13 13:18:33 2017	1489432713	0	196	196	173
Mon Mar 13 13:18:35 2017	1489432715	0	196	196	192
Mon Mar 13 13:18:34 2017	1489432714	0	196	196	196
Mon Mar 13 13:18:35 2017	1489432715	0	197	197	190
Mon Mar 13 13:18:35 2017	1489432715	0	197	197	192
Mon Mar 13 13:18:35 2017	1489432715	0	197	197	189
Mon Mar 13 13:18:34 2017	1489432714	0	197	197	191
Mon Mar 13 13:18:34 2017	1489432714	0	197	197	183
Mon Mar 13 13:18:35 2017	1489432715	0	197	197	190
Mon Mar 13 13:18:33 2017	1489432713	0	198	198	191
Mon Mar 13 13:18:35 2017	1489432715	0	198	198	184
Mon Mar 13 13:18:35 2017	1489432715	0	198	198	182
Mon Mar 13 13:18:34 2017	1489432714	0	198	199	196
Mon Mar 13 13:18:35 2017	1489432715	0	199	199	198
Mon Mar 13 13:18:35 2017	1489432715	0	199	199	195
Mon Mar 13 13:18:35 2017	1489432715	0	199	199	186
Mon Mar 13 13:18:35 2017	1489432715	0	200	200	192
Mon Mar 13 13:18:34 2017	1489432714	0	200	200	187
Mon Mar 13 13:18:34 2017	1489432714	0	200	200	192
Mon Mar 13 13:18:35 2017	1489432715	0	200	200	189
Mon Mar 13 13:18:35 2017	1489432715	0	201	201	193
Mon Mar 13 13:18:34 2017	1489432714	0	201	201	192
Mon Mar 13 13:18:35 2017	1489432715	0	202	202	188
Mon Mar 13 13:18:35 2017	1489432715	0	203	203	196
Mon Mar 13 13:18:35 2017	1489432715	0	203	203	198
Mon Mar 13 13:18:33 2017	1489432713	0	204	204	198
Mon Mar 13 13:18:34 2017	1489432714	0	205	205	196
Mon Mar 13 13:18:33 2017	1489432713	0	205	205	201
Mon Mar 13 13:18:35 2017	1489432715	0	206	206	201
Mon Mar 13 13:18:35 2017	1489432715	0	206	206	201
Mon Mar 13 13:18:34 2017	1489432714	0	207	207	204
Mon Mar 13 13:18:33 2017	1489432713	0	207	207	201
Mon Mar 13 13:18:34 2017	1489432714	0	208	208	206
Mon Mar 13 13:18:35 2017	1489432715	0	208	208	198
Mon Mar 13 13:18:34 2017	1489432714	0	208	208	201
Mon Mar 13 13:18:34 2017	1489432714	0	208	208	204
Mon Mar 13 13:18:34 2017	1489432714	0	209	209	204
Mon Mar 13 13:18:34 2017	1489432714	0	210	210	207
Mon Mar 13 13:18:34 2017	1489432714	0	210	210	199
Mon Mar 13 13:18:34 2017	1489432714	0	211	211	204
Mon Mar 13 13:18:35 2017	1489432715	0	211	211	205
Mon Mar 13 13:18:34 2017	1489432714	0	211	211	200
Mon Mar 13 13:18:33 2017	1489432713	0	211	211	207
Mon Mar 13 13:18:35 2017	1489432715	0	212	212	198
Mon Mar 13 13:18:35 2017	1489432715	0	212	212	204
Mon Mar 13 13:18:34 2017	1489432714	0	212	212	210
Mon Mar 13 13:18:35 2017	1489432715	0	212	212	202
Mon Mar 13 13:18:34 2017	1489432714	0	213	213	201
Mon Mar 13 13:18:34 2017	1489432714	0	214	214	200
